table_schema,table_name,index_name,indexdef
public,VoyJobAssignments,VoyJobAssignments_pkey,"CREATE UNIQUE INDEX ""VoyJobAssignments_pkey"" ON public.""VoyJobAssignments"" USING btree (id)"
public,VoyJobAssignments,VoyJobAssignments_requester_idx,"CREATE INDEX ""VoyJobAssignments_requester_idx"" ON public.""VoyJobAssignments"" USING btree (requester_user_id)"
public,VoyJobInsurance,VoyJobInsurance_job_id_key,"CREATE UNIQUE INDEX ""VoyJobInsurance_job_id_key"" ON public.""VoyJobInsurance"" USING btree (job_id)"
public,VoyJobInsurance,VoyJobInsurance_pkey,"CREATE UNIQUE INDEX ""VoyJobInsurance_pkey"" ON public.""VoyJobInsurance"" USING btree (id)"
public,VoyJobInsurance,idx_voy_job_ins_status,"CREATE INDEX idx_voy_job_ins_status ON public.""VoyJobInsurance"" USING btree (status)"
public,VoyJobs,VoyJobs_creator_idx,"CREATE INDEX ""VoyJobs_creator_idx"" ON public.""VoyJobs"" USING btree (creator_user_id)"
public,VoyJobs,VoyJobs_location_idx,"CREATE INDEX ""VoyJobs_location_idx"" ON public.""VoyJobs"" USING btree (district, neighborhood)"
public,VoyJobs,VoyJobs_pkey,"CREATE UNIQUE INDEX ""VoyJobs_pkey"" ON public.""VoyJobs"" USING btree (id)"
public,VoyJobs,VoyJobs_status_idx,"CREATE INDEX ""VoyJobs_status_idx"" ON public.""VoyJobs"" USING btree (status)"
public,VoyMessages,VoyMessages_chat_id_created_at_idx,"CREATE INDEX ""VoyMessages_chat_id_created_at_idx"" ON public.""VoyMessages"" USING btree (chat_id, created_at)"
public,VoyMessages,VoyMessages_pkey,"CREATE UNIQUE INDEX ""VoyMessages_pkey"" ON public.""VoyMessages"" USING btree (id)"
public,VoyMessages,idx_voymessages_chat,"CREATE INDEX idx_voymessages_chat ON public.""VoyMessages"" USING btree (chat_id)"
public,VoyMessages,idx_voymessages_created,"CREATE INDEX idx_voymessages_created ON public.""VoyMessages"" USING btree (created_at DESC)"
public,VoyMessages,idx_voymessages_read_at,"CREATE INDEX idx_voymessages_read_at ON public.""VoyMessages"" USING btree (chat_id, read_at) WHERE (read_at IS NULL)"
