table_schema,table_name,column_name,foreign_table_schema,foreign_table_name,foreign_column_name
public,VoyAdminLogs,admin_user_id,public,VoyUsers,id
public,VoyChats,helper_user_id,public,VoyUsers,id
public,VoyChats,company_user_id,public,VoyUsers,id
public,VoyChats,job_id,public,VoyJobs,id
public,VoyCompanies,owner_user_id,public,VoyUsers,id
public,VoyCompanySubscriptions,company_user_id,public,VoyUsers,id
public,VoyEmergencyAlertResponses,alert_id,public,VoyEmergencyAlerts,id
public,VoyEmergencyAlertResponses,contact_id,public,VoyEmergencyContacts,id
public,VoyEmergencyAlerts,resolved_by,public,VoyUsers,id
public,VoyEmergencyAlerts,user_id,public,VoyUsers,id
public,VoyEmergencyContacts,user_id,public,VoyUsers,id
public,VoyHelpers,user_id,public,VoyUsers,id
public,VoyInsurancePlans,policy_id,public,VoyInsurancePolicies,id
public,VoyInsurancePolicies,provider_id,public,VoyInsuranceProviders,id
public,VoyInvoices,payer_user_id,public,VoyUsers,id
public,VoyInvoices,issuer_user_id,public,VoyUsers,id
public,VoyInvoices,assignment_id,public,VoyJobAssignments,id
public,VoyJobApplications,helper_user_id,public,VoyUsers,id
public,VoyJobApplications,job_id,public,VoyJobs,id
public,VoyJobAssignments,job_id,public,VoyJobs,id
public,VoyJobAssignments,helper_user_id,public,VoyUsers,id
public,VoyJobAssignments,requester_user_id,public,VoyUsers,id
public,VoyJobInsurance,plan_id,public,VoyInsurancePlans,id
public,VoyJobInsurance,policy_id,public,VoyInsurancePolicies,id
public,VoyJobInsurance,job_id,public,VoyJobs,id
public,VoyJobs,microtask_id,public,VoyMicroTasks,id
public,VoyJobs,company_id,public,VoyCompanies,id
public,VoyJobs,creator_user_id,public,VoyUsers,id
public,VoyMessages,sender_user_id,public,VoyUsers,id
public,VoyMessages,chat_id,public,VoyChats,id
public,VoyMicroTasks,sector_id,public,VoySectors,id
public,VoyNotifications,related_application_id,public,VoyJobApplications,id
public,VoyNotifications,user_id,public,VoyUsers,id
public,VoyNotifications,related_job_id,public,VoyJobs,id
public,VoyPayments,user_id,public,VoyUsers,id
public,VoyPayments,job_id,public,VoyJobs,id
public,VoyPayments,application_id,public,VoyJobApplications,id
public,VoyReferralCodes,owner_user_id,public,VoyUsers,id
public,VoyReferralEvents,referred_user_id,public,VoyUsers,id
public,VoyReferralEvents,referrer_user_id,public,VoyUsers,id
public,VoyReviews,assignment_id,public,VoyJobAssignments,id
public,VoyReviews,job_id,public,VoyJobs,id
public,VoyReviews,reviewed_user_id,public,VoyUsers,id
public,VoyReviews,reviewer_user_id,public,VoyUsers,id
public,VoyRewards,user_id,public,VoyUsers,id
public,VoyWalletLedger,wallet_id,public,VoyWallets,id
public,VoyWalletLedger,reward_id,public,VoyRewards,id
public,VoyWalletLedger,user_id,public,VoyUsers,id
public,VoyWallets,user_id,public,VoyUsers,id
public,VoyWorkContracts,job_id,public,VoyJobs,id
public,VoyWorkSchedules,job_id,public,VoyJobs,id
voy_marketplace,buyer_profiles,user_id,public,VoyUsers,id
voy_marketplace,categories,parent_id,voy_marketplace,categories,id
voy_marketplace,credit_notes,return_id,voy_marketplace,returns,id
voy_marketplace,inventory,product_id,voy_marketplace,products,id
voy_marketplace,invoices,order_id,voy_marketplace,orders,id
voy_marketplace,order_items,product_id,voy_marketplace,products,id
voy_marketplace,order_items,order_id,voy_marketplace,orders,id
voy_marketplace,orders,seller_id,voy_marketplace,seller_profiles,id
voy_marketplace,orders,buyer_user_id,public,VoyUsers,id
voy_marketplace,product_images,product_id,voy_marketplace,products,id
voy_marketplace,product_prices,product_id,voy_marketplace,products,id
voy_marketplace,products,seller_id,voy_marketplace,seller_profiles,id
voy_marketplace,products,category_id,voy_marketplace,categories,id
voy_marketplace,promotion_products,product_id,voy_marketplace,products,id
voy_marketplace,promotion_products,promotion_id,voy_marketplace,promotions,id
voy_marketplace,promotions,seller_id,voy_marketplace,seller_profiles,id
voy_marketplace,return_items,return_id,voy_marketplace,returns,id
voy_marketplace,return_items,order_item_id,voy_marketplace,order_items,id
voy_marketplace,returns,order_id,voy_marketplace,orders,id
voy_marketplace,seller_profiles,owner_user_id,public,VoyUsers,id
voy_marketplace,seller_staff,seller_id,voy_marketplace,seller_profiles,id
voy_marketplace,seller_staff,user_id,public,VoyUsers,id
voy_marketplace,seller_subscriptions,seller_id,voy_marketplace,seller_profiles,id
voy_marketplace,seller_subscriptions,plan_id,voy_marketplace,seller_plans,id
