table_schema,table_name,constraint_name,constraint_type
public,VoyInvoices,VoyInvoices_assignment_id_fkey,FOREIGN KEY
public,VoyInvoices,VoyInvoices_issuer_user_id_fkey,FOREIGN KEY
public,VoyInvoices,VoyInvoices_payer_user_id_fkey,FOREIGN KEY
public,VoyInvoices,VoyInvoices_pkey,PRIMARY KEY
public,VoyJobApplications,2200_48987_1_not_null,CHECK
public,VoyJobApplications,2200_48987_2_not_null,CHECK
public,VoyJobApplications,2200_48987_3_not_null,CHECK
public,VoyJobApplications,2200_48987_7_not_null,CHECK
public,VoyJobApplications,2200_48987_8_not_null,CHECK
public,VoyJobApplications,2200_48987_9_not_null,CHECK
public,VoyJobApplications,VoyJobApplications_helper_user_id_fkey,FOREIGN KEY
public,VoyJobApplications,VoyJobApplications_job_id_fkey,FOREIGN KEY
public,VoyJobApplications,VoyJobApplications_pkey,PRIMARY KEY
public,VoyJobApplications,VoyJobApplications_job_helper_unique,UNIQUE
public,VoyJobAssignments,2200_49010_11_not_null,CHECK
public,VoyJobAssignments,2200_49010_12_not_null,CHECK
public,VoyJobAssignments,2200_49010_1_not_null,CHECK
public,VoyJobAssignments,2200_49010_2_not_null,CHECK
public,VoyJobAssignments,2200_49010_3_not_null,CHECK
public,VoyJobAssignments,2200_49010_4_not_null,CHECK
public,VoyJobAssignments,2200_49010_8_not_null,CHECK
public,VoyJobAssignments,VoyJobAssignments_helper_user_id_fkey,FOREIGN KEY
public,VoyJobAssignments,VoyJobAssignments_job_id_fkey,FOREIGN KEY
public,VoyJobAssignments,VoyJobAssignments_requester_user_id_fkey,FOREIGN KEY
public,VoyJobAssignments,VoyJobAssignments_pkey,PRIMARY KEY
public,VoyJobAssignments,VoyJobAssignments_job_id_key,UNIQUE
public,VoyJobInsurance,2200_59106_12_not_null,CHECK
public,VoyJobInsurance,2200_59106_13_not_null,CHECK
public,VoyJobInsurance,2200_59106_1_not_null,CHECK
public,VoyJobInsurance,2200_59106_2_not_null,CHECK
public,VoyJobInsurance,2200_59106_3_not_null,CHECK
public,VoyJobInsurance,2200_59106_4_not_null,CHECK
public,VoyJobInsurance,2200_59106_5_not_null,CHECK
public,VoyJobInsurance,2200_59106_6_not_null,CHECK
public,VoyJobInsurance,2200_59106_7_not_null,CHECK
public,VoyJobInsurance,2200_59106_8_not_null,CHECK
public,VoyJobInsurance,VoyJobInsurance_risk_level_check,CHECK
public,VoyJobInsurance,VoyJobInsurance_status_check,CHECK
public,VoyJobInsurance,VoyJobInsurance_job_id_fkey,FOREIGN KEY
public,VoyJobInsurance,VoyJobInsurance_plan_id_fkey,FOREIGN KEY
public,VoyJobInsurance,VoyJobInsurance_policy_id_fkey,FOREIGN KEY
public,VoyJobInsurance,VoyJobInsurance_pkey,PRIMARY KEY
public,VoyJobInsurance,VoyJobInsurance_job_id_key,UNIQUE
public,VoyJobs,2200_48960_10_not_null,CHECK
public,VoyJobs,2200_48960_17_not_null,CHECK
public,VoyJobs,2200_48960_18_not_null,CHECK
public,VoyJobs,2200_48960_19_not_null,CHECK
public,VoyJobs,2200_48960_1_not_null,CHECK
public,VoyJobs,2200_48960_2_not_null,CHECK
public,VoyJobs,2200_48960_4_not_null,CHECK
public,VoyJobs,2200_48960_6_not_null,CHECK
public,VoyJobs,2200_48960_7_not_null,CHECK
public,VoyJobs,VoyJobs_company_id_fkey,FOREIGN KEY
public,VoyJobs,VoyJobs_creator_user_id_fkey,FOREIGN KEY
public,VoyJobs,voyjobs_microtask_fk,FOREIGN KEY
public,VoyJobs,VoyJobs_pkey,PRIMARY KEY
public,VoyMessages,2200_50598_1_not_null,CHECK
public,VoyMessages,2200_50598_2_not_null,CHECK
public,VoyMessages,2200_50598_3_not_null,CHECK
public,VoyMessages,voy_messages_not_empty,CHECK
public,VoyMessages,VoyMessages_chat_id_fkey,FOREIGN KEY
public,VoyMessages,VoyMessages_sender_user_id_fkey,FOREIGN KEY
public,VoyMessages,VoyMessages_pkey,PRIMARY KEY
public,VoyMicroTasks,2200_53491_1_not_null,CHECK
public,VoyMicroTasks,2200_53491_2_not_null,CHECK
public,VoyMicroTasks,2200_53491_3_not_null,CHECK
public,VoyMicroTasks,voymicrotasks_risk_level_check,CHECK
public,VoyMicroTasks,VoyMicroTasks_sector_id_fkey,FOREIGN KEY
public,VoyMicroTasks,VoyMicroTasks_pkey,PRIMARY KEY
public,VoyNotifications,2200_50056_1_not_null,CHECK
public,VoyNotifications,2200_50056_2_not_null,CHECK
public,VoyNotifications,2200_50056_3_not_null,CHECK
public,VoyNotifications,2200_50056_4_not_null,CHECK
public,VoyNotifications,2200_50056_5_not_null,CHECK
public,VoyNotifications,VoyNotifications_type_check,CHECK
public,VoyNotifications,VoyNotifications_related_application_id_fkey,FOREIGN KEY
public,VoyNotifications,VoyNotifications_related_job_id_fkey,FOREIGN KEY
public,VoyNotifications,VoyNotifications_user_id_fkey,FOREIGN KEY
public,VoyNotifications,VoyNotifications_pkey,PRIMARY KEY
public,VoyPayments,2200_51822_1_not_null,CHECK
public,VoyPayments,2200_51822_2_not_null,CHECK
public,VoyPayments,2200_51822_3_not_null,CHECK
public,VoyPayments,2200_51822_4_not_null,CHECK
public,VoyPayments,2200_51822_5_not_null,CHECK
public,VoyPayments,2200_51822_7_not_null,CHECK
public,VoyPayments,VoyPayments_application_id_fkey,FOREIGN KEY
public,VoyPayments,VoyPayments_job_id_fkey,FOREIGN KEY
public,VoyPayments,VoyPayments_user_id_fkey,FOREIGN KEY
public,VoyPayments,VoyPayments_pkey,PRIMARY KEY
public,VoyReferralCodes,2200_56972_1_not_null,CHECK
public,VoyReferralCodes,2200_56972_2_not_null,CHECK
public,VoyReferralCodes,2200_56972_3_not_null,CHECK
public,VoyReferralCodes,2200_56972_4_not_null,CHECK
public,VoyReferralCodes,2200_56972_5_not_null,CHECK
public,VoyReferralCodes,VoyReferralCodes_owner_user_id_fkey,FOREIGN KEY
public,VoyReferralCodes,VoyReferralCodes_pkey,PRIMARY KEY
public,VoyReferralCodes,VoyReferralCodes_code_key,UNIQUE
public,VoyReferralEvents,2200_56989_1_not_null,CHECK
public,VoyReferralEvents,2200_56989_2_not_null,CHECK
public,VoyReferralEvents,2200_56989_3_not_null,CHECK
public,VoyReferralEvents,2200_56989_4_not_null,CHECK
public,VoyReferralEvents,2200_56989_5_not_null,CHECK
public,VoyReferralEvents,2200_56989_6_not_null,CHECK
public,VoyReferralEvents,2200_56989_7_not_null,CHECK
public,VoyReferralEvents,2200_56989_8_not_null,CHECK
