table_schema,table_name,column_name,data_type,is_nullable,column_default
public,VoyInsuranceProviders,claims_email,text,YES,null
public,VoyInsuranceProviders,admin_contact_name,text,YES,null
public,VoyInsuranceProviders,admin_contact_phone,text,YES,null
public,VoyInsuranceProviders,admin_contact_email,text,YES,null
public,VoyInsuranceProviders,broker_name,text,YES,null
public,VoyInsuranceProviders,broker_phone,text,YES,null
public,VoyInsuranceProviders,broker_email,text,YES,null
public,VoyInsuranceProviders,notes,text,YES,null
public,VoyInsuranceProviders,documents_url,text,YES,null
public,VoyInsuranceProviders,created_at,timestamp with time zone,NO,now()
public,VoyInsuranceProviders,updated_at,timestamp with time zone,NO,now()
public,VoyInvoices,id,uuid,NO,gen_random_uuid()
public,VoyInvoices,assignment_id,uuid,YES,null
public,VoyInvoices,issuer_user_id,uuid,NO,null
public,VoyInvoices,payer_user_id,uuid,NO,null
public,VoyInvoices,amount,numeric,NO,null
public,VoyInvoices,currency,text,NO,'EUR'::text
public,VoyInvoices,status,USER-DEFINED,NO,"'DRAFT'::""VoyInvoiceStatus"""
public,VoyInvoices,issued_at,timestamp with time zone,YES,now()
public,VoyInvoices,paid_at,timestamp with time zone,YES,null
public,VoyInvoices,description,text,YES,null
public,VoyInvoices,created_at,timestamp with time zone,NO,now()
public,VoyInvoices,updated_at,timestamp with time zone,NO,now()
public,VoyJobApplications,id,uuid,NO,gen_random_uuid()
public,VoyJobApplications,job_id,uuid,NO,null
public,VoyJobApplications,helper_user_id,uuid,NO,null
public,VoyJobApplications,message,text,YES,null
public,VoyJobApplications,proposed_price,numeric,YES,null
public,VoyJobApplications,proposed_hourly_rate,numeric,YES,null
public,VoyJobApplications,status,USER-DEFINED,NO,"'PENDING'::""VoyApplicationStatus"""
public,VoyJobApplications,created_at,timestamp with time zone,NO,now()
public,VoyJobApplications,updated_at,timestamp with time zone,NO,now()
public,VoyJobAssignments,id,uuid,NO,gen_random_uuid()
public,VoyJobAssignments,job_id,uuid,NO,null
public,VoyJobAssignments,helper_user_id,uuid,NO,null
public,VoyJobAssignments,requester_user_id,uuid,NO,null
public,VoyJobAssignments,agreed_price,numeric,YES,null
public,VoyJobAssignments,agreed_hourly_rate,numeric,YES,null
public,VoyJobAssignments,notes,text,YES,null
public,VoyJobAssignments,status,USER-DEFINED,NO,"'ASSIGNED'::""VoyJobStatus"""
public,VoyJobAssignments,started_at,timestamp with time zone,YES,null
public,VoyJobAssignments,completed_at,timestamp with time zone,YES,null
public,VoyJobAssignments,created_at,timestamp with time zone,NO,now()
public,VoyJobAssignments,updated_at,timestamp with time zone,NO,now()
public,VoyJobInsurance,id,uuid,NO,gen_random_uuid()
public,VoyJobInsurance,job_id,uuid,NO,null
public,VoyJobInsurance,policy_id,uuid,NO,null
public,VoyJobInsurance,plan_id,uuid,NO,null
public,VoyJobInsurance,risk_level,smallint,NO,null
public,VoyJobInsurance,insurance_fee,numeric,NO,0
public,VoyJobInsurance,currency,text,NO,'EUR'::text
public,VoyJobInsurance,status,text,NO,'APPLIED'::text
public,VoyJobInsurance,certificate_ref,text,YES,null
public,VoyJobInsurance,notes,text,YES,null
public,VoyJobInsurance,metadata,jsonb,YES,'{}'::jsonb
public,VoyJobInsurance,created_at,timestamp with time zone,NO,now()
public,VoyJobInsurance,updated_at,timestamp with time zone,NO,now()
public,VoyJobs,id,uuid,NO,gen_random_uuid()
public,VoyJobs,creator_user_id,uuid,NO,null
public,VoyJobs,company_id,uuid,YES,null
public,VoyJobs,title,text,NO,null
public,VoyJobs,description,text,YES,null
public,VoyJobs,category,text,NO,null
public,VoyJobs,job_type,USER-DEFINED,NO,"'ONE_OFF'::""VoyJobType"""
public,VoyJobs,price_fixed,numeric,YES,null
public,VoyJobs,price_hourly,numeric,YES,null
public,VoyJobs,price_negotiable,boolean,NO,false
public,VoyJobs,city,text,YES,'Madrid'::text
public,VoyJobs,district,text,YES,null
public,VoyJobs,neighborhood,text,YES,null
public,VoyJobs,address_hint,text,YES,null
public,VoyJobs,start_at,timestamp with time zone,YES,null
public,VoyJobs,end_at,timestamp with time zone,YES,null
public,VoyJobs,status,USER-DEFINED,NO,"'OPEN'::""VoyJobStatus"""
public,VoyJobs,created_at,timestamp with time zone,NO,now()
public,VoyJobs,updated_at,timestamp with time zone,NO,now()
public,VoyJobs,microtask_id,text,YES,null
public,VoyMessages,id,uuid,NO,gen_random_uuid()
public,VoyMessages,chat_id,uuid,NO,null
public,VoyMessages,sender_user_id,uuid,NO,null
public,VoyMessages,content,text,YES,null
public,VoyMessages,file_url,text,YES,null
public,VoyMessages,file_name,text,YES,null
public,VoyMessages,file_type,text,YES,null
public,VoyMessages,created_at,timestamp with time zone,YES,now()
public,VoyMessages,updated_at,timestamp with time zone,YES,now()
public,VoyMessages,read_at,timestamp with time zone,YES,null
public,VoyMicroTasks,id,text,NO,null
public,VoyMicroTasks,sector_id,text,NO,null
public,VoyMicroTasks,name,text,NO,null
public,VoyMicroTasks,created_at,timestamp with time zone,YES,now()
public,VoyMicroTasks,risk_level,smallint,YES,null
public,VoyNotifications,id,uuid,NO,gen_random_uuid()
public,VoyNotifications,user_id,uuid,NO,null
public,VoyNotifications,title,text,NO,null
public,VoyNotifications,message,text,NO,null
public,VoyNotifications,type,text,NO,null
public,VoyNotifications,related_job_id,uuid,YES,null
public,VoyNotifications,related_application_id,uuid,YES,null
public,VoyNotifications,is_read,boolean,YES,false
public,VoyNotifications,created_at,timestamp with time zone,YES,now()
public,VoyPayments,id,uuid,NO,uuid_generate_v4()
public,VoyPayments,user_id,uuid,NO,null
public,VoyPayments,job_id,uuid,NO,null
public,VoyPayments,application_id,uuid,NO,null
public,VoyPayments,amount,numeric,NO,null
public,VoyPayments,currency,character varying,YES,'EUR'::character varying
public,VoyPayments,status,character varying,NO,'pending'::character varying
public,VoyPayments,stripe_payment_intent_id,character varying,YES,null
public,VoyPayments,stripe_charge_id,character varying,YES,null
public,VoyPayments,payment_method,character varying,YES,null
public,VoyPayments,error_message,text,YES,null
public,VoyPayments,metadata,jsonb,YES,null
